City,Country,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness
port-gentil,GA,-5.35,-0.1,80.08,100,5.95,68
teacapan,MX,21.24,-107.41,68.96,76,2.04,0
colares,PT,38.67,-10.58,57.2,76,13.87,20
angoram,PG,-4.42,143.88,93.89,54,2.59,20
milos,GR,37.07,24.21,57.2,93,5.82,44
great falls,US,48.09,-112.04,19.4,73,6.93,90
jumla,NP,32.89,85.49,30.08,83,1.92,0
the valley,AI,25.16,-62.95,73.4,73,3.36,20
moose factory,CA,50.89,-79.77,10.4,92,6.93,90
tilichiki,RU,59.52,169.76,15.59,84,7.18,44
nome,US,70.69,-163.93,60.8,72,3.36,1
srednekolymsk,RU,67.35,151.84,-5.11,69,3.04,0
maumere,ID,-8.64,122.05,84.85,96,5.95,32
kamyshla,RU,54,52.25,-1.29,68,2.82,80
vitoria do mearim,BR,-3.59,-44.85,77.83,90,3.6,76
sao joao da barra,BR,-26.85,-34.94,79.31,100,19.04,64
ibotirama,BR,-11.9,-43.22,73.15,87,2.59,8
eenhana,NA,-18.05,17.21,65.95,97,7.18,88
